base_condition_key,best_healing_id,best_run_id,best_score
S=S10_A=A_F=F2_L=L2_seed=2,H0,1175,-0.5
S=S10_A=A_F=F3_L=L1_seed=1,H0,1180,-1.0
S=S10_A=A_F=F3_L=L1_seed=2,H0,1181,-1.0
S=S10_A=A_F=F3_L=L2_seed=1,H0,1182,-1.0
S=S10_A=A_F=F3_L=L2_seed=2,H0,1183,-1.0
S=S10_A=A_F=F4_L=L1_seed=1,H4,1104,0.5
S=S10_A=A_F=F4_L=L1_seed=2,H4,1128,0.5
S=S10_A=A_F=F4_L=L2_seed=1,H4,1105,0.5
S=S10_A=A_F=F4_L=L2_seed=2,H4,1129,0.5
S=S10_A=B_F=F0_L=L1_seed=1,H0,1098,-0.5
S=S10_A=B_F=F0_L=L2_seed=1,H0,1099,-0.5
S=S10_A=B_F=F1_L=L1_seed=1,H0,1136,-0.5
S=S10_A=B_F=F1_L=L1_seed=2,H0,1137,-0.5
S=S10_A=B_F=F1_L=L2_seed=1,H0,1138,-0.5
S=S10_A=B_F=F1_L=L2_seed=2,H0,1171,-0.5
S=S10_A=B_F=F2_L=L1_seed=1,H0,1176,-0.5
S=S10_A=B_F=F2_L=L1_seed=2,H0,1177,-0.5
S=S10_A=B_F=F2_L=L2_seed=1,H0,1178,-0.5
S=S10_A=B_F=F2_L=L2_seed=2,H0,1179,-0.5
S=S10_A=B_F=F3_L=L1_seed=1,H0,1184,-1.0
S=S10_A=B_F=F3_L=L1_seed=2,H0,1185,-1.0
S=S10_A=B_F=F3_L=L2_seed=1,H0,1186,-1.0
S=S10_A=B_F=F3_L=L2_seed=2,H0,1187,-1.0
S=S10_A=B_F=F4_L=L1_seed=1,H4,1106,0.5
S=S10_A=B_F=F4_L=L1_seed=2,H4,1130,0.5
S=S10_A=B_F=F4_L=L2_seed=1,H4,1107,0.5
S=S10_A=B_F=F4_L=L2_seed=2,H4,1131,0.5
S=S11_A=A_F=F0_L=L1_seed=1,H0,1196,-0.5
S=S11_A=A_F=F0_L=L2_seed=1,H0,1197,-0.5
S=S11_A=A_F=F1_L=L1_seed=1,H0,1232,-0.5
S=S11_A=A_F=F1_L=L1_seed=2,H0,1233,-0.5
S=S11_A=A_F=F1_L=L2_seed=1,H0,1234,-0.5
S=S11_A=A_F=F1_L=L2_seed=2,H0,1235,-0.5
S=S11_A=A_F=F2_L=L1_seed=1,H0,1240,-0.5
S=S11_A=A_F=F2_L=L1_seed=2,H0,1241,-0.5
S=S11_A=A_F=F2_L=L2_seed=1,H0,1242,-0.5
S=S11_A=A_F=F2_L=L2_seed=2,H0,1243,-0.5
S=S11_A=A_F=F3_L=L1_seed=1,H0,1248,-1.0
S=S11_A=A_F=F3_L=L1_seed=2,H0,1249,-1.0
S=S11_A=A_F=F3_L=L2_seed=1,H0,1250,-1.0
S=S11_A=A_F=F3_L=L2_seed=2,H0,1251,-1.0
S=S11_A=A_F=F4_L=L1_seed=1,H4,1204,0.5
S=S11_A=A_F=F4_L=L1_seed=2,H4,1228,0.5
S=S11_A=A_F=F4_L=L2_seed=1,H4,1205,0.5
S=S11_A=A_F=F4_L=L2_seed=2,H4,1229,0.5
S=S11_A=B_F=F0_L=L1_seed=1,H0,1198,-0.5
S=S11_A=B_F=F0_L=L2_seed=1,H0,1199,-0.5
S=S11_A=B_F=F1_L=L1_seed=1,H0,1236,-0.5
S=S11_A=B_F=F1_L=L1_seed=2,H0,1237,-0.5
S=S11_A=B_F=F1_L=L2_seed=1,H0,1238,-0.5
S=S11_A=B_F=F1_L=L2_seed=2,H0,1239,-0.5
S=S11_A=B_F=F2_L=L1_seed=1,H0,1244,-0.5
S=S11_A=B_F=F2_L=L1_seed=2,H0,1245,-0.5
S=S11_A=B_F=F2_L=L2_seed=1,H0,1246,-0.5
S=S11_A=B_F=F2_L=L2_seed=2,H0,1247,-0.5
S=S11_A=B_F=F3_L=L1_seed=1,H0,1252,-1.0
S=S11_A=B_F=F3_L=L1_seed=2,H0,1253,-1.0
S=S11_A=B_F=F3_L=L2_seed=1,H0,1254,-1.0
S=S11_A=B_F=F3_L=L2_seed=2,H0,1255,-1.0
S=S11_A=B_F=F4_L=L1_seed=1,H4,1206,0.5
S=S11_A=B_F=F4_L=L1_seed=2,H4,1230,0.5
S=S11_A=B_F=F4_L=L2_seed=1,H4,1207,0.5
S=S11_A=B_F=F4_L=L2_seed=2,H4,1231,0.5
S=S2_A=A_F=F0_L=L1_seed=1,H0,89,-0.5
S=S2_A=A_F=F0_L=L1_seed=2,H0,93,-0.5
S=S2_A=A_F=F0_L=L1_seed=3,H0,97,-0.5
S=S2_A=A_F=F0_L=L1_seed=4,H0,101,-0.5
S=S2_A=A_F=F0_L=L2_seed=1,H0,90,-0.5
S=S2_A=A_F=F0_L=L2_seed=2,H0,94,-0.5
S=S2_A=A_F=F0_L=L2_seed=3,H0,98,-0.5
S=S2_A=A_F=F0_L=L2_seed=4,H0,102,-0.5
S=S2_A=A_F=F1_L=L1_seed=1,H0,297,-1.0
S=S2_A=A_F=F1_L=L1_seed=2,H0,329,-1.0
S=S2_A=A_F=F1_L=L1_seed=3,H0,361,-1.0
S=S2_A=A_F=F1_L=L1_seed=4,H0,393,-1.0
S=S2_A=A_F=F1_L=L2_seed=1,H0,305,-1.0
S=S2_A=A_F=F1_L=L2_seed=2,H0,337,-1.0
S=S2_A=A_F=F1_L=L2_seed=3,H0,369,-1.0
S=S2_A=A_F=F1_L=L2_seed=4,H0,401,-1.0
S=S2_A=A_F=F2_L=L1_seed=1,H0,299,-1.0
S=S2_A=A_F=F2_L=L1_seed=2,H0,331,-1.0
S=S2_A=A_F=F2_L=L1_seed=3,H0,363,-1.0
S=S2_A=A_F=F2_L=L1_seed=4,H0,395,-1.0
S=S2_A=A_F=F2_L=L2_seed=1,H0,307,-1.0
S=S2_A=A_F=F2_L=L2_seed=2,H0,339,-1.0
S=S2_A=A_F=F2_L=L2_seed=3,H0,371,-1.0
S=S2_A=A_F=F2_L=L2_seed=4,H0,403,-1.0
S=S2_A=A_F=F3_L=L1_seed=1,H0,301,-1.0
S=S2_A=A_F=F3_L=L1_seed=2,H0,333,-1.0
S=S2_A=A_F=F3_L=L1_seed=3,H0,365,-1.0
S=S2_A=A_F=F3_L=L1_seed=4,H0,397,-1.0
S=S2_A=A_F=F3_L=L2_seed=1,H0,309,-1.0
S=S2_A=A_F=F3_L=L2_seed=2,H0,341,-1.0
S=S2_A=A_F=F3_L=L2_seed=3,H0,373,-1.0
S=S2_A=A_F=F3_L=L2_seed=4,H0,405,-1.0
S=S2_A=A_F=F4_L=L1_seed=1,H0,303,-1.0
S=S2_A=A_F=F4_L=L1_seed=2,H4,336,0.0
S=S2_A=A_F=F4_L=L1_seed=3,H4,368,0.0
S=S2_A=A_F=F4_L=L1_seed=4,H4,400,0.0
S=S2_A=A_F=F4_L=L2_seed=1,H0,311,-1.0
S=S2_A=A_F=F4_L=L2_seed=2,H4,344,0.0
S=S2_A=A_F=F4_L=L2_seed=3,H4,376,0.0
S=S2_A=A_F=F4_L=L2_seed=4,H4,408,0.0
S=S2_A=B_F=F0_L=L1_seed=1,H0,91,-0.5
S=S2_A=B_F=F0_L=L1_seed=2,H0,95,-0.5
S=S2_A=B_F=F0_L=L1_seed=3,H0,99,-0.5
S=S2_A=B_F=F0_L=L1_seed=4,H0,103,-0.5
S=S2_A=B_F=F0_L=L2_seed=1,H0,92,-0.5
S=S2_A=B_F=F0_L=L2_seed=2,H0,96,-0.5
S=S2_A=B_F=F0_L=L2_seed=3,H0,100,-0.5
S=S2_A=B_F=F0_L=L2_seed=4,H0,104,-0.5
S=S2_A=B_F=F1_L=L1_seed=1,H0,313,-1.0
S=S2_A=B_F=F1_L=L1_seed=2,H0,345,-1.0
S=S2_A=B_F=F1_L=L1_seed=3,H0,377,-1.0
S=S2_A=B_F=F1_L=L1_seed=4,H0,409,-1.0
S=S2_A=B_F=F1_L=L2_seed=1,H0,321,-1.0
S=S2_A=B_F=F1_L=L2_seed=2,H0,353,-1.0
S=S2_A=B_F=F1_L=L2_seed=3,H0,385,-1.0
S=S2_A=B_F=F1_L=L2_seed=4,H0,417,-1.0
S=S2_A=B_F=F2_L=L1_seed=1,H0,315,-1.0
S=S2_A=B_F=F2_L=L1_seed=2,H0,347,-1.0
S=S2_A=B_F=F2_L=L1_seed=3,H0,379,-1.0
S=S2_A=B_F=F2_L=L1_seed=4,H0,411,-1.0
S=S2_A=B_F=F2_L=L2_seed=1,H0,323,-1.0
S=S2_A=B_F=F2_L=L2_seed=2,H0,355,-1.0
S=S2_A=B_F=F2_L=L2_seed=3,H0,387,-1.0
S=S2_A=B_F=F2_L=L2_seed=4,H0,419,-1.0
S=S2_A=B_F=F3_L=L1_seed=1,H0,317,-1.0
S=S2_A=B_F=F3_L=L1_seed=2,H0,349,-1.0
S=S2_A=B_F=F3_L=L1_seed=3,H0,381,-1.0
S=S2_A=B_F=F3_L=L1_seed=4,H0,413,-1.0
S=S2_A=B_F=F3_L=L2_seed=1,H0,325,-1.0
S=S2_A=B_F=F3_L=L2_seed=2,H0,357,-1.0
S=S2_A=B_F=F3_L=L2_seed=3,H0,389,-1.0
S=S2_A=B_F=F3_L=L2_seed=4,H0,421,-1.0
S=S2_A=B_F=F4_L=L1_seed=1,H0,319,-1.0
S=S2_A=B_F=F4_L=L1_seed=2,H4,352,0.0
S=S2_A=B_F=F4_L=L1_seed=3,H4,384,0.0
S=S2_A=B_F=F4_L=L1_seed=4,H4,416,0.0
S=S2_A=B_F=F4_L=L2_seed=1,H0,327,-1.0
S=S2_A=B_F=F4_L=L2_seed=2,H4,360,0.0
S=S2_A=B_F=F4_L=L2_seed=3,H4,392,0.0
S=S2_A=B_F=F4_L=L2_seed=4,H4,424,0.0
S=S3_A=A_F=F0_L=L1_seed=1,H0,105,-0.5
S=S3_A=A_F=F0_L=L1_seed=2,H0,109,-0.5
S=S3_A=A_F=F0_L=L1_seed=3,H0,113,-0.5
S=S3_A=A_F=F0_L=L1_seed=4,H0,117,-0.5
S=S3_A=A_F=F0_L=L2_seed=1,H0,106,-0.5
S=S3_A=A_F=F0_L=L2_seed=2,H0,110,-0.5
S=S3_A=A_F=F0_L=L2_seed=3,H0,114,-0.5
S=S3_A=A_F=F0_L=L2_seed=4,H0,118,-0.5
S=S3_A=A_F=F1_L=L1_seed=1,H0,425,-1.0
S=S3_A=A_F=F1_L=L1_seed=2,H0,457,-1.0
S=S3_A=A_F=F1_L=L1_seed=3,H0,489,-1.0
S=S3_A=A_F=F1_L=L1_seed=4,H0,521,-1.0
S=S3_A=A_F=F1_L=L2_seed=1,H0,433,-1.0
S=S3_A=A_F=F1_L=L2_seed=2,H0,465,-1.0
S=S3_A=A_F=F1_L=L2_seed=3,H0,497,-1.0
S=S3_A=A_F=F1_L=L2_seed=4,H0,529,-1.0
S=S3_A=A_F=F2_L=L1_seed=1,H0,427,-1.0
S=S3_A=A_F=F2_L=L1_seed=2,H0,459,-1.0
S=S3_A=A_F=F2_L=L1_seed=3,H0,491,-1.0
S=S3_A=A_F=F2_L=L1_seed=4,H0,523,-1.0
S=S3_A=A_F=F2_L=L2_seed=1,H0,435,-1.0
S=S3_A=A_F=F2_L=L2_seed=2,H0,467,-1.0
S=S3_A=A_F=F2_L=L2_seed=3,H0,499,-1.0
S=S3_A=A_F=F2_L=L2_seed=4,H0,531,-1.0
S=S3_A=A_F=F3_L=L1_seed=1,H0,429,-1.0
S=S3_A=A_F=F3_L=L1_seed=2,H0,461,-1.0
S=S3_A=A_F=F3_L=L1_seed=3,H0,493,-1.0
S=S3_A=A_F=F3_L=L1_seed=4,H0,525,-1.0
S=S3_A=A_F=F3_L=L2_seed=1,H0,437,-1.0
S=S3_A=A_F=F3_L=L2_seed=2,H0,469,-1.0
S=S3_A=A_F=F3_L=L2_seed=3,H0,501,-1.0
S=S3_A=A_F=F3_L=L2_seed=4,H0,533,-1.0
S=S3_A=A_F=F4_L=L1_seed=1,H4,432,0.0
S=S3_A=A_F=F4_L=L1_seed=2,H4,464,0.0
S=S3_A=A_F=F4_L=L1_seed=3,H4,496,0.0
S=S3_A=A_F=F4_L=L1_seed=4,H4,528,0.0
S=S3_A=A_F=F4_L=L2_seed=1,H4,440,0.0
S=S3_A=A_F=F4_L=L2_seed=2,H4,472,0.0
S=S3_A=A_F=F4_L=L2_seed=3,H4,504,0.0
S=S3_A=A_F=F4_L=L2_seed=4,H4,536,0.0
S=S3_A=B_F=F0_L=L1_seed=1,H0,107,-0.5
S=S3_A=B_F=F0_L=L1_seed=2,H0,111,-0.5
S=S3_A=B_F=F0_L=L1_seed=3,H0,115,-0.5
S=S3_A=B_F=F0_L=L1_seed=4,H0,119,-0.5
S=S3_A=B_F=F0_L=L2_seed=1,H0,108,-0.5
S=S3_A=B_F=F0_L=L2_seed=2,H0,112,-0.5
S=S3_A=B_F=F0_L=L2_seed=3,H0,116,-0.5
S=S3_A=B_F=F0_L=L2_seed=4,H0,120,-0.5
S=S3_A=B_F=F1_L=L1_seed=1,H0,441,-1.0
S=S3_A=B_F=F1_L=L1_seed=2,H0,473,-1.0
S=S3_A=B_F=F1_L=L1_seed=3,H0,505,-1.0
S=S3_A=B_F=F1_L=L1_seed=4,H0,537,-1.0
S=S3_A=B_F=F1_L=L2_seed=1,H0,449,-1.0
S=S3_A=B_F=F1_L=L2_seed=2,H0,481,-1.0
S=S3_A=B_F=F1_L=L2_seed=3,H0,513,-1.0
S=S3_A=B_F=F1_L=L2_seed=4,H0,545,-1.0
S=S3_A=B_F=F2_L=L1_seed=1,H0,443,-1.0
S=S3_A=B_F=F2_L=L1_seed=2,H0,475,-1.0
S=S3_A=B_F=F2_L=L1_seed=3,H0,507,-1.0
S=S3_A=B_F=F2_L=L1_seed=4,H0,539,-1.0
S=S3_A=B_F=F2_L=L2_seed=1,H0,451,-1.0
S=S3_A=B_F=F2_L=L2_seed=2,H0,483,-1.0
S=S3_A=B_F=F2_L=L2_seed=3,H0,515,-1.0
S=S3_A=B_F=F2_L=L2_seed=4,H0,547,-1.0
S=S3_A=B_F=F3_L=L1_seed=1,H0,445,-1.0
S=S3_A=B_F=F3_L=L1_seed=2,H0,477,-1.0
S=S3_A=B_F=F3_L=L1_seed=3,H0,509,-1.0
S=S3_A=B_F=F3_L=L1_seed=4,H0,541,-1.0
S=S3_A=B_F=F3_L=L2_seed=1,H0,453,-1.0
S=S3_A=B_F=F3_L=L2_seed=2,H0,485,-1.0
S=S3_A=B_F=F3_L=L2_seed=3,H0,517,-1.0
S=S3_A=B_F=F3_L=L2_seed=4,H0,549,-1.0
S=S3_A=B_F=F4_L=L1_seed=1,H4,448,0.0
S=S3_A=B_F=F4_L=L1_seed=2,H4,480,0.0
S=S3_A=B_F=F4_L=L1_seed=3,H4,512,0.0
S=S3_A=B_F=F4_L=L1_seed=4,H4,544,0.0
S=S3_A=B_F=F4_L=L2_seed=1,H4,456,0.0
S=S3_A=B_F=F4_L=L2_seed=2,H4,488,0.0
S=S3_A=B_F=F4_L=L2_seed=3,H4,520,0.0
S=S3_A=B_F=F4_L=L2_seed=4,H4,552,0.0
S=S4_A=A_F=F0_L=L1_seed=1,H0,121,-0.5
S=S4_A=A_F=F0_L=L1_seed=2,H0,125,-0.5
S=S4_A=A_F=F0_L=L1_seed=3,H0,129,-0.5
S=S4_A=A_F=F0_L=L1_seed=4,H0,133,-0.5
S=S4_A=A_F=F0_L=L2_seed=1,H0,122,-0.5
S=S4_A=A_F=F0_L=L2_seed=2,H0,126,-0.5
S=S4_A=A_F=F0_L=L2_seed=3,H0,130,-0.5
S=S4_A=A_F=F0_L=L2_seed=4,H0,134,-0.5
S=S4_A=A_F=F1_L=L1_seed=1,H0,553,-1.0
S=S4_A=A_F=F1_L=L1_seed=2,H0,585,-1.0
S=S4_A=A_F=F1_L=L1_seed=3,H0,617,-1.0
S=S4_A=A_F=F1_L=L1_seed=4,H0,649,-1.0
S=S4_A=A_F=F1_L=L2_seed=1,H0,561,-1.0
S=S4_A=A_F=F1_L=L2_seed=2,H0,593,-1.0
S=S4_A=A_F=F1_L=L2_seed=3,H0,625,-1.0
S=S4_A=A_F=F1_L=L2_seed=4,H0,657,-1.0
S=S4_A=A_F=F2_L=L1_seed=1,H0,555,-1.0
S=S4_A=A_F=F2_L=L1_seed=2,H0,587,-1.0
S=S4_A=A_F=F2_L=L1_seed=3,H0,619,-1.0
S=S4_A=A_F=F2_L=L1_seed=4,H0,651,-1.0
S=S4_A=A_F=F2_L=L2_seed=1,H0,563,-1.0
S=S4_A=A_F=F2_L=L2_seed=2,H0,595,-1.0
S=S4_A=A_F=F2_L=L2_seed=3,H0,627,-1.0
S=S4_A=A_F=F2_L=L2_seed=4,H0,659,-1.0
S=S4_A=A_F=F3_L=L1_seed=1,H0,557,-1.0
S=S4_A=A_F=F3_L=L1_seed=2,H0,589,-1.0
S=S4_A=A_F=F3_L=L1_seed=3,H0,621,-1.0
S=S4_A=A_F=F3_L=L1_seed=4,H0,653,-1.0
S=S4_A=A_F=F3_L=L2_seed=1,H0,565,-1.0
S=S4_A=A_F=F3_L=L2_seed=2,H0,597,-1.0
S=S4_A=A_F=F3_L=L2_seed=3,H0,629,-1.0
S=S4_A=A_F=F3_L=L2_seed=4,H0,661,-1.0
S=S4_A=A_F=F4_L=L1_seed=1,H4,560,0.0
S=S4_A=A_F=F4_L=L1_seed=2,H4,592,0.0
S=S4_A=A_F=F4_L=L1_seed=3,H4,624,0.0
S=S4_A=A_F=F4_L=L1_seed=4,H4,656,0.0
S=S4_A=A_F=F4_L=L2_seed=1,H4,568,0.0
S=S4_A=A_F=F4_L=L2_seed=2,H4,600,0.0
S=S4_A=A_F=F4_L=L2_seed=3,H4,632,0.0
S=S4_A=A_F=F4_L=L2_seed=4,H4,664,0.0
S=S4_A=B_F=F0_L=L1_seed=1,H0,123,-0.5
S=S4_A=B_F=F0_L=L1_seed=2,H0,127,-0.5
S=S4_A=B_F=F0_L=L1_seed=3,H0,131,-0.5
S=S4_A=B_F=F0_L=L1_seed=4,H0,135,-0.5
S=S4_A=B_F=F0_L=L2_seed=1,H0,124,-0.5
S=S4_A=B_F=F0_L=L2_seed=2,H0,128,-0.5
S=S4_A=B_F=F0_L=L2_seed=3,H0,132,-0.5
S=S4_A=B_F=F0_L=L2_seed=4,H0,136,-0.5
S=S4_A=B_F=F1_L=L1_seed=1,H0,569,-1.0
S=S4_A=B_F=F1_L=L1_seed=2,H0,601,-1.0
S=S4_A=B_F=F1_L=L1_seed=3,H0,633,-1.0
S=S4_A=B_F=F1_L=L1_seed=4,H0,665,-1.0
S=S4_A=B_F=F1_L=L2_seed=1,H0,577,-1.0
S=S4_A=B_F=F1_L=L2_seed=2,H0,609,-1.0
S=S4_A=B_F=F1_L=L2_seed=3,H0,641,-1.0
S=S4_A=B_F=F1_L=L2_seed=4,H0,673,-1.0
S=S4_A=B_F=F2_L=L1_seed=1,H0,571,-1.0
S=S4_A=B_F=F2_L=L1_seed=2,H0,603,-1.0
S=S4_A=B_F=F2_L=L1_seed=3,H0,635,-1.0
S=S4_A=B_F=F2_L=L1_seed=4,H0,667,-1.0
S=S4_A=B_F=F2_L=L2_seed=1,H0,579,-1.0
S=S4_A=B_F=F2_L=L2_seed=2,H0,611,-1.0
S=S4_A=B_F=F2_L=L2_seed=3,H0,643,-1.0
S=S4_A=B_F=F2_L=L2_seed=4,H0,675,-1.0
S=S4_A=B_F=F3_L=L1_seed=1,H0,573,-1.0
S=S4_A=B_F=F3_L=L1_seed=2,H0,605,-1.0
S=S4_A=B_F=F3_L=L1_seed=3,H0,637,-1.0
S=S4_A=B_F=F3_L=L1_seed=4,H0,669,-1.0
S=S4_A=B_F=F3_L=L2_seed=1,H0,581,-1.0
S=S4_A=B_F=F3_L=L2_seed=2,H0,613,-1.0
S=S4_A=B_F=F3_L=L2_seed=3,H0,645,-1.0
S=S4_A=B_F=F3_L=L2_seed=4,H0,677,-1.0
S=S4_A=B_F=F4_L=L1_seed=1,H4,576,0.0
S=S4_A=B_F=F4_L=L1_seed=2,H4,608,0.0
S=S4_A=B_F=F4_L=L1_seed=3,H4,640,0.0
S=S4_A=B_F=F4_L=L1_seed=4,H4,672,0.0
S=S4_A=B_F=F4_L=L2_seed=1,H4,584,0.0
S=S4_A=B_F=F4_L=L2_seed=2,H4,616,0.0
S=S4_A=B_F=F4_L=L2_seed=3,H4,648,0.0
S=S4_A=B_F=F4_L=L2_seed=4,H4,680,0.0
S=S5_A=A_F=F0_L=L1_seed=1,H0,137,-0.5
S=S5_A=A_F=F0_L=L1_seed=2,H0,141,-0.5
S=S5_A=A_F=F0_L=L1_seed=3,H0,145,-0.5
S=S5_A=A_F=F0_L=L1_seed=4,H0,149,-0.5
S=S5_A=A_F=F0_L=L2_seed=1,H0,138,-0.5
S=S5_A=A_F=F0_L=L2_seed=2,H0,142,-0.5
S=S5_A=A_F=F0_L=L2_seed=3,H0,146,-0.5
S=S5_A=A_F=F0_L=L2_seed=4,H0,150,-0.5
S=S5_A=A_F=F1_L=L1_seed=1,H0,681,-1.0
S=S5_A=A_F=F1_L=L1_seed=2,H0,713,-1.0
S=S5_A=A_F=F1_L=L1_seed=3,H0,745,-1.0
S=S5_A=A_F=F1_L=L1_seed=4,H0,777,-1.0
S=S5_A=A_F=F1_L=L2_seed=1,H0,689,-1.0
S=S5_A=A_F=F1_L=L2_seed=2,H0,721,-1.0
S=S5_A=A_F=F1_L=L2_seed=3,H0,753,-1.0
S=S5_A=A_F=F1_L=L2_seed=4,H0,785,-1.0
S=S5_A=A_F=F2_L=L1_seed=1,H0,683,-1.0
S=S5_A=A_F=F2_L=L1_seed=2,H0,715,-1.0
