run_id,external_run_id,map_id,map_signature,architecture,load,failure_family,healing_id,scale,seed,recovery_applied,delivery_ratio,network_lifetime
1383,S1000_B_L2_F2_H0_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F2,H0,S13,1,no,1.0,600.000
1384,S1000_B_L2_F2_H0_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F2,H0,S13,2,no,1.0,600.000
1385,S1000_B_L2_F2_H0_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F2,H0,S13,3,no,1.0,600.000
1386,S500_B_L1_F2_H1_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F2,H1,S12,1,yes,1.0,600.000
1387,S500_B_L1_F2_H1_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F2,H1,S12,2,yes,1.0,600.000
1388,S500_B_L1_F2_H1_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F2,H1,S12,3,yes,1.0,600.000
1389,S500_B_L2_F2_H1_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F2,H1,S12,1,yes,1.0,600.000
1390,S500_B_L2_F2_H1_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F2,H1,S12,2,yes,1.0,600.000
1391,S500_B_L2_F2_H1_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F2,H1,S12,3,yes,1.0,600.000
1392,S1000_B_L1_F2_H1_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F2,H1,S13,1,yes,1.0,600.000
1393,S1000_B_L1_F2_H1_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F2,H1,S13,2,yes,1.0,600.000
1394,S1000_B_L1_F2_H1_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F2,H1,S13,3,yes,1.0,600.000
1395,S1000_B_L2_F2_H1_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F2,H1,S13,1,yes,1.0,600.000
1396,S1000_B_L2_F2_H1_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F2,H1,S13,2,yes,1.0,600.000
1397,S1000_B_L2_F2_H1_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F2,H1,S13,3,yes,1.0,600.000
1398,S500_B_L1_F2_H3_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F2,H3,S12,1,yes,1.0,600.000
1399,S500_B_L1_F2_H4_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F2,H4,S12,2,yes,1.0,600.000
1400,S500_B_L1_F2_H4_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F2,H4,S12,3,yes,1.0,600.000
1401,S500_B_L2_F2_H4_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F2,H4,S12,1,yes,1.0,600.000
1402,S500_B_L2_F2_H4_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F2,H4,S12,2,yes,1.0,600.000
1403,S500_B_L2_F2_H4_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F2,H4,S12,3,yes,1.0,600.000
1404,S1000_B_L1_F2_H4_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F2,H4,S13,1,yes,1.0,600.000
1405,S1000_B_L1_F2_H4_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F2,H4,S13,2,yes,1.0,600.000
1406,S1000_B_L1_F2_H4_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F2,H4,S13,3,yes,1.0,600.000
1407,S1000_B_L2_F2_H4_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F2,H4,S13,1,yes,1.0,600.000
1408,S1000_B_L2_F2_H4_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F2,H4,S13,2,yes,1.0,600.000
1409,S1000_B_L2_F2_H4_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F2,H4,S13,3,yes,1.0,600.000
1410,S500_B_L1_F3_H0_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F3,H0,S12,1,no,1.0,600.000
1411,S500_B_L1_F3_H0_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F3,H0,S12,2,no,1.0,600.000
1412,S500_B_L1_F3_H0_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F3,H0,S12,3,no,1.0,600.000
1413,S500_B_L2_F3_H0_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F3,H0,S12,1,no,1.0,600.000
1414,S500_B_L2_F3_H0_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F3,H0,S12,2,no,1.0,600.000
1415,S500_B_L2_F3_H0_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F3,H0,S12,3,no,1.0,600.000
1416,S1000_B_L1_F3_H0_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F3,H0,S13,1,no,1.0,600.000
1417,S1000_B_L1_F3_H0_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F3,H0,S13,2,no,1.0,600.000
1418,S1000_B_L1_F3_H0_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F3,H0,S13,3,no,1.0,600.000
1419,S1000_B_L2_F3_H0_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F3,H0,S13,1,no,1.0,600.000
1420,S1000_B_L2_F3_H0_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F3,H0,S13,2,no,1.0,600.000
1421,S1000_B_L2_F3_H0_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F3,H0,S13,3,no,1.0,600.000
1422,S500_B_L1_F3_H1_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F3,H1,S12,1,yes,1.0,600.000
1423,S500_B_L1_F3_H1_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F3,H1,S12,2,yes,1.0,600.000
1424,S500_B_L1_F3_H1_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F3,H1,S12,3,yes,1.0,600.000
1425,S500_B_L2_F3_H1_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F3,H1,S12,1,yes,1.0,600.000
1426,S500_B_L2_F3_H1_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F3,H1,S12,2,yes,1.0,600.000
1427,S500_B_L2_F3_H1_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F3,H1,S12,3,yes,1.0,600.000
1428,S1000_B_L1_F3_H1_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F3,H1,S13,1,yes,1.0,600.000
1429,S1000_B_L1_F3_H1_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F3,H1,S13,2,yes,1.0,600.000
1430,S1000_B_L1_F3_H1_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F3,H1,S13,3,yes,1.0,600.000
1431,S1000_B_L2_F3_H1_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F3,H1,S13,1,yes,1.0,600.000
1432,S1000_B_L2_F3_H1_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F3,H1,S13,2,yes,1.0,600.000
1433,S1000_B_L2_F3_H1_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F3,H1,S13,3,yes,1.0,600.000
1434,S500_B_L1_F3_H3_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F3,H3,S12,1,yes,1.0,600.000
1435,S500_B_L1_F3_H3_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F3,H3,S12,2,yes,1.0,600.000
1436,S500_B_L1_F3_H3_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F3,H3,S12,3,yes,1.0,600.000
1437,S500_B_L2_F3_H3_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F3,H3,S12,1,yes,1.0,600.000
1438,S500_B_L2_F3_H3_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F3,H3,S12,2,yes,1.0,600.000
1439,S500_B_L2_F3_H3_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F3,H3,S12,3,yes,1.0,600.000
1440,S1000_B_L1_F3_H3_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F3,H3,S13,1,yes,1.0,600.000
1441,S1000_B_L1_F3_H3_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F3,H3,S13,2,yes,1.0,600.000
1442,S1000_B_L1_F3_H3_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F3,H3,S13,3,yes,1.0,600.000
1443,S1000_B_L2_F3_H3_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F3,H3,S13,1,yes,1.0,600.000
1444,S1000_B_L2_F3_H3_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F3,H3,S13,2,yes,1.0,600.000
1445,S1000_B_L2_F3_H3_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F3,H3,S13,3,yes,1.0,600.000
1446,S500_B_L1_F3_H4_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L1,F3,H4,S12,1,yes,1.0,600.000
1447,S500_B_L1_F3_H4_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L1,F3,H4,S12,2,yes,1.0,600.000
1448,S500_B_L1_F3_H4_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L1,F3,H4,S12,3,yes,1.0,600.000
1449,S500_B_L2_F3_H4_seed01,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,B,L2,F3,H4,S12,1,yes,1.0,600.000
1450,S500_B_L2_F3_H4_seed02,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,B,L2,F3,H4,S12,2,yes,1.0,600.000
1451,S500_B_L2_F3_H4_seed03,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,B,L2,F3,H4,S12,3,yes,1.0,600.000
1452,S1000_B_L1_F3_H4_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L1,F3,H4,S13,1,yes,1.0,600.000
1453,S1000_B_L1_F3_H4_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L1,F3,H4,S13,2,yes,1.0,600.000
1454,S1000_B_L1_F3_H4_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L1,F3,H4,S13,3,yes,1.0,600.000
1455,S1000_B_L2_F3_H4_seed01,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,B,L2,F3,H4,S13,1,yes,1.0,600.000
1456,S1000_B_L2_F3_H4_seed02,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,B,L2,F3,H4,S13,2,yes,1.0,600.000
1457,S1000_B_L2_F3_H4_seed03,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,B,L2,F3,H4,S13,3,yes,1.0,600.000
