base_condition_key,scale,architecture,failure_family,load,seed,candidate_healing_count,healing_methods
S=S1_A=A_F=F3_L=L2_seed=2,S1,A,F3,L2,2,2,"H0,H3"
S=S1_A=A_F=F3_L=L2_seed=3,S1,A,F3,L2,3,2,"H0,H3"
S=S1_A=A_F=F3_L=L2_seed=4,S1,A,F3,L2,4,2,"H0,H3"
S=S1_A=A_F=F4_L=L1_seed=1,S1,A,F4,L1,1,2,"H0,H4"
S=S1_A=A_F=F4_L=L1_seed=2,S1,A,F4,L1,2,2,"H0,H4"
S=S1_A=A_F=F4_L=L1_seed=3,S1,A,F4,L1,3,2,"H0,H4"
S=S1_A=A_F=F4_L=L1_seed=4,S1,A,F4,L1,4,2,"H0,H4"
S=S1_A=A_F=F4_L=L2_seed=1,S1,A,F4,L2,1,2,"H0,H4"
S=S1_A=A_F=F4_L=L2_seed=2,S1,A,F4,L2,2,2,"H0,H4"
S=S1_A=A_F=F4_L=L2_seed=3,S1,A,F4,L2,3,2,"H0,H4"
S=S1_A=A_F=F4_L=L2_seed=4,S1,A,F4,L2,4,2,"H0,H4"
S=S1_A=B_F=F0_L=L1_seed=1,S1,B,F0,L1,1,1,H0
S=S1_A=B_F=F0_L=L1_seed=2,S1,B,F0,L1,2,1,H0
S=S1_A=B_F=F0_L=L1_seed=3,S1,B,F0,L1,3,1,H0
S=S1_A=B_F=F0_L=L1_seed=4,S1,B,F0,L1,4,1,H0
S=S1_A=B_F=F0_L=L2_seed=1,S1,B,F0,L2,1,1,H0
S=S1_A=B_F=F0_L=L2_seed=2,S1,B,F0,L2,2,1,H0
S=S1_A=B_F=F0_L=L2_seed=3,S1,B,F0,L2,3,1,H0
S=S1_A=B_F=F0_L=L2_seed=4,S1,B,F0,L2,4,1,H0
S=S1_A=B_F=F1_L=L1_seed=1,S1,B,F1,L1,1,2,"H0,H1"
S=S1_A=B_F=F1_L=L1_seed=2,S1,B,F1,L1,2,2,"H0,H1"
S=S1_A=B_F=F1_L=L1_seed=3,S1,B,F1,L1,3,2,"H0,H1"
S=S1_A=B_F=F1_L=L1_seed=4,S1,B,F1,L1,4,2,"H0,H1"
S=S1_A=B_F=F1_L=L2_seed=1,S1,B,F1,L2,1,2,"H0,H1"
S=S1_A=B_F=F1_L=L2_seed=2,S1,B,F1,L2,2,2,"H0,H1"
S=S1_A=B_F=F1_L=L2_seed=3,S1,B,F1,L2,3,2,"H0,H1"
S=S1_A=B_F=F1_L=L2_seed=4,S1,B,F1,L2,4,2,"H0,H1"
S=S1_A=B_F=F2_L=L1_seed=1,S1,B,F2,L1,1,2,"H0,H2"
S=S1_A=B_F=F2_L=L1_seed=2,S1,B,F2,L1,2,2,"H0,H2"
S=S1_A=B_F=F2_L=L1_seed=3,S1,B,F2,L1,3,2,"H0,H2"
S=S1_A=B_F=F2_L=L1_seed=4,S1,B,F2,L1,4,2,"H0,H2"
S=S1_A=B_F=F2_L=L2_seed=1,S1,B,F2,L2,1,2,"H0,H2"
S=S1_A=B_F=F2_L=L2_seed=2,S1,B,F2,L2,2,2,"H0,H2"
S=S1_A=B_F=F2_L=L2_seed=3,S1,B,F2,L2,3,2,"H0,H2"
S=S1_A=B_F=F2_L=L2_seed=4,S1,B,F2,L2,4,2,"H0,H2"
S=S1_A=B_F=F3_L=L1_seed=1,S1,B,F3,L1,1,2,"H0,H3"
S=S1_A=B_F=F3_L=L1_seed=2,S1,B,F3,L1,2,2,"H0,H3"
S=S1_A=B_F=F3_L=L1_seed=3,S1,B,F3,L1,3,2,"H0,H3"
S=S1_A=B_F=F3_L=L1_seed=4,S1,B,F3,L1,4,2,"H0,H3"
S=S1_A=B_F=F3_L=L2_seed=1,S1,B,F3,L2,1,2,"H0,H3"
S=S1_A=B_F=F3_L=L2_seed=2,S1,B,F3,L2,2,2,"H0,H3"
S=S1_A=B_F=F3_L=L2_seed=3,S1,B,F3,L2,3,2,"H0,H3"
S=S1_A=B_F=F3_L=L2_seed=4,S1,B,F3,L2,4,2,"H0,H3"
S=S1_A=B_F=F4_L=L1_seed=1,S1,B,F4,L1,1,2,"H0,H4"
S=S1_A=B_F=F4_L=L1_seed=2,S1,B,F4,L1,2,2,"H0,H4"
S=S1_A=B_F=F4_L=L1_seed=3,S1,B,F4,L1,3,2,"H0,H4"
S=S1_A=B_F=F4_L=L1_seed=4,S1,B,F4,L1,4,2,"H0,H4"
S=S1_A=B_F=F4_L=L2_seed=1,S1,B,F4,L2,1,2,"H0,H4"
S=S1_A=B_F=F4_L=L2_seed=2,S1,B,F4,L2,2,2,"H0,H4"
S=S1_A=B_F=F4_L=L2_seed=3,S1,B,F4,L2,3,2,"H0,H4"
S=S1_A=B_F=F4_L=L2_seed=4,S1,B,F4,L2,4,2,"H0,H4"
S=S10_A=A_F=F0_L=L1_seed=1,S10,A,F0,L1,1,1,H0
S=S10_A=A_F=F0_L=L2_seed=1,S10,A,F0,L2,1,1,H0
S=S10_A=A_F=F1_L=L1_seed=1,S10,A,F1,L1,1,2,"H0,H1"
S=S10_A=A_F=F1_L=L1_seed=2,S10,A,F1,L1,2,2,"H0,H1"
S=S10_A=A_F=F1_L=L2_seed=1,S10,A,F1,L2,1,2,"H0,H1"
S=S10_A=A_F=F1_L=L2_seed=2,S10,A,F1,L2,2,2,"H0,H1"
S=S10_A=A_F=F2_L=L1_seed=1,S10,A,F2,L1,1,2,"H0,H2"
S=S10_A=A_F=F2_L=L1_seed=2,S10,A,F2,L1,2,2,"H0,H2"
S=S10_A=A_F=F2_L=L2_seed=1,S10,A,F2,L2,1,2,"H0,H2"
S=S10_A=A_F=F2_L=L2_seed=2,S10,A,F2,L2,2,2,"H0,H2"
S=S10_A=A_F=F3_L=L1_seed=1,S10,A,F3,L1,1,2,"H0,H3"
S=S10_A=A_F=F3_L=L1_seed=2,S10,A,F3,L1,2,2,"H0,H3"
S=S10_A=A_F=F3_L=L2_seed=1,S10,A,F3,L2,1,2,"H0,H3"
S=S10_A=A_F=F3_L=L2_seed=2,S10,A,F3,L2,2,2,"H0,H3"
S=S10_A=A_F=F4_L=L1_seed=1,S10,A,F4,L1,1,2,"H0,H4"
S=S10_A=A_F=F4_L=L1_seed=2,S10,A,F4,L1,2,2,"H0,H4"
S=S10_A=A_F=F4_L=L2_seed=1,S10,A,F4,L2,1,2,"H0,H4"
S=S10_A=A_F=F4_L=L2_seed=2,S10,A,F4,L2,2,2,"H0,H4"
S=S10_A=B_F=F0_L=L1_seed=1,S10,B,F0,L1,1,1,H0
S=S10_A=B_F=F0_L=L2_seed=1,S10,B,F0,L2,1,1,H0
S=S10_A=B_F=F1_L=L1_seed=1,S10,B,F1,L1,1,2,"H0,H1"
S=S10_A=B_F=F1_L=L1_seed=2,S10,B,F1,L1,2,2,"H0,H1"
S=S10_A=B_F=F1_L=L2_seed=1,S10,B,F1,L2,1,2,"H0,H1"
S=S10_A=B_F=F1_L=L2_seed=2,S10,B,F1,L2,2,2,"H0,H1"
S=S10_A=B_F=F2_L=L1_seed=1,S10,B,F2,L1,1,2,"H0,H2"
S=S10_A=B_F=F2_L=L1_seed=2,S10,B,F2,L1,2,2,"H0,H2"
S=S10_A=B_F=F2_L=L2_seed=1,S10,B,F2,L2,1,2,"H0,H2"
S=S10_A=B_F=F2_L=L2_seed=2,S10,B,F2,L2,2,2,"H0,H2"
S=S10_A=B_F=F3_L=L1_seed=1,S10,B,F3,L1,1,2,"H0,H3"
S=S10_A=B_F=F3_L=L1_seed=2,S10,B,F3,L1,2,2,"H0,H3"
S=S10_A=B_F=F3_L=L2_seed=1,S10,B,F3,L2,1,2,"H0,H3"
S=S10_A=B_F=F3_L=L2_seed=2,S10,B,F3,L2,2,2,"H0,H3"
S=S10_A=B_F=F4_L=L1_seed=1,S10,B,F4,L1,1,2,"H0,H4"
S=S10_A=B_F=F4_L=L1_seed=2,S10,B,F4,L1,2,2,"H0,H4"
S=S10_A=B_F=F4_L=L2_seed=1,S10,B,F4,L2,1,2,"H0,H4"
S=S10_A=B_F=F4_L=L2_seed=2,S10,B,F4,L2,2,2,"H0,H4"
S=S11_A=A_F=F0_L=L1_seed=1,S11,A,F0,L1,1,1,H0
S=S11_A=A_F=F0_L=L2_seed=1,S11,A,F0,L2,1,1,H0
S=S11_A=A_F=F1_L=L1_seed=1,S11,A,F1,L1,1,2,"H0,H1"
S=S11_A=A_F=F1_L=L1_seed=2,S11,A,F1,L1,2,2,"H0,H1"
S=S11_A=A_F=F1_L=L2_seed=1,S11,A,F1,L2,1,2,"H0,H1"
S=S11_A=A_F=F1_L=L2_seed=2,S11,A,F1,L2,2,2,"H0,H1"
S=S11_A=A_F=F2_L=L1_seed=1,S11,A,F2,L1,1,2,"H0,H2"
S=S11_A=A_F=F2_L=L1_seed=2,S11,A,F2,L1,2,2,"H0,H2"
S=S11_A=A_F=F2_L=L2_seed=1,S11,A,F2,L2,1,2,"H0,H2"
S=S11_A=A_F=F2_L=L2_seed=2,S11,A,F2,L2,2,2,"H0,H2"
S=S11_A=A_F=F3_L=L1_seed=1,S11,A,F3,L1,1,2,"H0,H3"
S=S11_A=A_F=F3_L=L1_seed=2,S11,A,F3,L1,2,2,"H0,H3"
S=S11_A=A_F=F3_L=L2_seed=1,S11,A,F3,L2,1,2,"H0,H3"
S=S11_A=A_F=F3_L=L2_seed=2,S11,A,F3,L2,2,2,"H0,H3"
S=S11_A=A_F=F4_L=L1_seed=1,S11,A,F4,L1,1,2,"H0,H4"
S=S11_A=A_F=F4_L=L1_seed=2,S11,A,F4,L1,2,2,"H0,H4"
S=S11_A=A_F=F4_L=L2_seed=1,S11,A,F4,L2,1,2,"H0,H4"
S=S11_A=A_F=F4_L=L2_seed=2,S11,A,F4,L2,2,2,"H0,H4"
S=S11_A=B_F=F0_L=L1_seed=1,S11,B,F0,L1,1,1,H0
S=S11_A=B_F=F0_L=L2_seed=1,S11,B,F0,L2,1,1,H0
S=S11_A=B_F=F1_L=L1_seed=1,S11,B,F1,L1,1,2,"H0,H1"
S=S11_A=B_F=F1_L=L1_seed=2,S11,B,F1,L1,2,2,"H0,H1"
S=S11_A=B_F=F1_L=L2_seed=1,S11,B,F1,L2,1,2,"H0,H1"
S=S11_A=B_F=F1_L=L2_seed=2,S11,B,F1,L2,2,2,"H0,H1"
S=S11_A=B_F=F2_L=L1_seed=1,S11,B,F2,L1,1,2,"H0,H2"
S=S11_A=B_F=F2_L=L1_seed=2,S11,B,F2,L1,2,2,"H0,H2"
S=S11_A=B_F=F2_L=L2_seed=1,S11,B,F2,L2,1,2,"H0,H2"
S=S11_A=B_F=F2_L=L2_seed=2,S11,B,F2,L2,2,2,"H0,H2"
S=S11_A=B_F=F3_L=L1_seed=1,S11,B,F3,L1,1,2,"H0,H3"
S=S11_A=B_F=F3_L=L1_seed=2,S11,B,F3,L1,2,2,"H0,H3"
S=S11_A=B_F=F3_L=L2_seed=1,S11,B,F3,L2,1,2,"H0,H3"
S=S11_A=B_F=F3_L=L2_seed=2,S11,B,F3,L2,2,2,"H0,H3"
S=S11_A=B_F=F4_L=L1_seed=1,S11,B,F4,L1,1,2,"H0,H4"
S=S11_A=B_F=F4_L=L1_seed=2,S11,B,F4,L1,2,2,"H0,H4"
S=S11_A=B_F=F4_L=L2_seed=1,S11,B,F4,L2,1,2,"H0,H4"
S=S11_A=B_F=F4_L=L2_seed=2,S11,B,F4,L2,2,2,"H0,H4"
S=S2_A=A_F=F0_L=L1_seed=1,S2,A,F0,L1,1,1,H0
S=S2_A=A_F=F0_L=L1_seed=2,S2,A,F0,L1,2,1,H0
S=S2_A=A_F=F0_L=L1_seed=3,S2,A,F0,L1,3,1,H0
S=S2_A=A_F=F0_L=L1_seed=4,S2,A,F0,L1,4,1,H0
S=S2_A=A_F=F0_L=L2_seed=1,S2,A,F0,L2,1,1,H0
S=S2_A=A_F=F0_L=L2_seed=2,S2,A,F0,L2,2,1,H0
S=S2_A=A_F=F0_L=L2_seed=3,S2,A,F0,L2,3,1,H0
S=S2_A=A_F=F0_L=L2_seed=4,S2,A,F0,L2,4,1,H0
S=S2_A=A_F=F1_L=L1_seed=1,S2,A,F1,L1,1,2,"H0,H1"
S=S2_A=A_F=F1_L=L1_seed=2,S2,A,F1,L1,2,2,"H0,H1"
S=S2_A=A_F=F1_L=L1_seed=3,S2,A,F1,L1,3,2,"H0,H1"
S=S2_A=A_F=F1_L=L1_seed=4,S2,A,F1,L1,4,2,"H0,H1"
S=S2_A=A_F=F1_L=L2_seed=1,S2,A,F1,L2,1,2,"H0,H1"
S=S2_A=A_F=F1_L=L2_seed=2,S2,A,F1,L2,2,2,"H0,H1"
S=S2_A=A_F=F1_L=L2_seed=3,S2,A,F1,L2,3,2,"H0,H1"
S=S2_A=A_F=F1_L=L2_seed=4,S2,A,F1,L2,4,2,"H0,H1"
S=S2_A=A_F=F2_L=L1_seed=1,S2,A,F2,L1,1,2,"H0,H2"
S=S2_A=A_F=F2_L=L1_seed=2,S2,A,F2,L1,2,2,"H0,H2"
S=S2_A=A_F=F2_L=L1_seed=3,S2,A,F2,L1,3,2,"H0,H2"
S=S2_A=A_F=F2_L=L1_seed=4,S2,A,F2,L1,4,2,"H0,H2"
S=S2_A=A_F=F2_L=L2_seed=1,S2,A,F2,L2,1,2,"H0,H2"
S=S2_A=A_F=F2_L=L2_seed=2,S2,A,F2,L2,2,2,"H0,H2"
S=S2_A=A_F=F2_L=L2_seed=3,S2,A,F2,L2,3,2,"H0,H2"
S=S2_A=A_F=F2_L=L2_seed=4,S2,A,F2,L2,4,2,"H0,H2"
S=S2_A=A_F=F3_L=L1_seed=1,S2,A,F3,L1,1,2,"H0,H3"
S=S2_A=A_F=F3_L=L1_seed=2,S2,A,F3,L1,2,2,"H0,H3"
S=S2_A=A_F=F3_L=L1_seed=3,S2,A,F3,L1,3,2,"H0,H3"
S=S2_A=A_F=F3_L=L1_seed=4,S2,A,F3,L1,4,2,"H0,H3"
S=S2_A=A_F=F3_L=L2_seed=1,S2,A,F3,L2,1,2,"H0,H3"
S=S2_A=A_F=F3_L=L2_seed=2,S2,A,F3,L2,2,2,"H0,H3"
S=S2_A=A_F=F3_L=L2_seed=3,S2,A,F3,L2,3,2,"H0,H3"
S=S2_A=A_F=F3_L=L2_seed=4,S2,A,F3,L2,4,2,"H0,H3"
S=S2_A=A_F=F4_L=L1_seed=1,S2,A,F4,L1,1,2,"H0,H4"
S=S2_A=A_F=F4_L=L1_seed=2,S2,A,F4,L1,2,2,"H0,H4"
S=S2_A=A_F=F4_L=L1_seed=3,S2,A,F4,L1,3,2,"H0,H4"
S=S2_A=A_F=F4_L=L1_seed=4,S2,A,F4,L1,4,2,"H0,H4"
S=S2_A=A_F=F4_L=L2_seed=1,S2,A,F4,L2,1,2,"H0,H4"
S=S2_A=A_F=F4_L=L2_seed=2,S2,A,F4,L2,2,2,"H0,H4"
S=S2_A=A_F=F4_L=L2_seed=3,S2,A,F4,L2,3,2,"H0,H4"
S=S2_A=A_F=F4_L=L2_seed=4,S2,A,F4,L2,4,2,"H0,H4"
S=S2_A=B_F=F0_L=L1_seed=1,S2,B,F0,L1,1,1,H0
S=S2_A=B_F=F0_L=L1_seed=2,S2,B,F0,L1,2,1,H0
S=S2_A=B_F=F0_L=L1_seed=3,S2,B,F0,L1,3,1,H0
S=S2_A=B_F=F0_L=L1_seed=4,S2,B,F0,L1,4,1,H0
S=S2_A=B_F=F0_L=L2_seed=1,S2,B,F0,L2,1,1,H0
S=S2_A=B_F=F0_L=L2_seed=2,S2,B,F0,L2,2,1,H0
S=S2_A=B_F=F0_L=L2_seed=3,S2,B,F0,L2,3,1,H0
S=S2_A=B_F=F0_L=L2_seed=4,S2,B,F0,L2,4,1,H0
S=S2_A=B_F=F1_L=L1_seed=1,S2,B,F1,L1,1,2,"H0,H1"
S=S2_A=B_F=F1_L=L1_seed=2,S2,B,F1,L1,2,2,"H0,H1"
S=S2_A=B_F=F1_L=L1_seed=3,S2,B,F1,L1,3,2,"H0,H1"
S=S2_A=B_F=F1_L=L1_seed=4,S2,B,F1,L1,4,2,"H0,H1"
S=S2_A=B_F=F1_L=L2_seed=1,S2,B,F1,L2,1,2,"H0,H1"
S=S2_A=B_F=F1_L=L2_seed=2,S2,B,F1,L2,2,2,"H0,H1"
S=S2_A=B_F=F1_L=L2_seed=3,S2,B,F1,L2,3,2,"H0,H1"
S=S2_A=B_F=F1_L=L2_seed=4,S2,B,F1,L2,4,2,"H0,H1"
S=S2_A=B_F=F2_L=L1_seed=1,S2,B,F2,L1,1,2,"H0,H2"
S=S2_A=B_F=F2_L=L1_seed=2,S2,B,F2,L1,2,2,"H0,H2"
S=S2_A=B_F=F2_L=L1_seed=3,S2,B,F2,L1,3,2,"H0,H2"
S=S2_A=B_F=F2_L=L1_seed=4,S2,B,F2,L1,4,2,"H0,H2"
S=S2_A=B_F=F2_L=L2_seed=1,S2,B,F2,L2,1,2,"H0,H2"
S=S2_A=B_F=F2_L=L2_seed=2,S2,B,F2,L2,2,2,"H0,H2"
S=S2_A=B_F=F2_L=L2_seed=3,S2,B,F2,L2,3,2,"H0,H2"
S=S2_A=B_F=F2_L=L2_seed=4,S2,B,F2,L2,4,2,"H0,H2"
S=S2_A=B_F=F3_L=L1_seed=1,S2,B,F3,L1,1,2,"H0,H3"
S=S2_A=B_F=F3_L=L1_seed=2,S2,B,F3,L1,2,2,"H0,H3"
S=S2_A=B_F=F3_L=L1_seed=3,S2,B,F3,L1,3,2,"H0,H3"
S=S2_A=B_F=F3_L=L1_seed=4,S2,B,F3,L1,4,2,"H0,H3"
S=S2_A=B_F=F3_L=L2_seed=1,S2,B,F3,L2,1,2,"H0,H3"
S=S2_A=B_F=F3_L=L2_seed=2,S2,B,F3,L2,2,2,"H0,H3"
S=S2_A=B_F=F3_L=L2_seed=3,S2,B,F3,L2,3,2,"H0,H3"
S=S2_A=B_F=F3_L=L2_seed=4,S2,B,F3,L2,4,2,"H0,H3"
S=S2_A=B_F=F4_L=L1_seed=1,S2,B,F4,L1,1,2,"H0,H4"
S=S2_A=B_F=F4_L=L1_seed=2,S2,B,F4,L1,2,2,"H0,H4"
S=S2_A=B_F=F4_L=L1_seed=3,S2,B,F4,L1,3,2,"H0,H4"
S=S2_A=B_F=F4_L=L1_seed=4,S2,B,F4,L1,4,2,"H0,H4"
S=S2_A=B_F=F4_L=L2_seed=1,S2,B,F4,L2,1,2,"H0,H4"
S=S2_A=B_F=F4_L=L2_seed=2,S2,B,F4,L2,2,2,"H0,H4"
S=S2_A=B_F=F4_L=L2_seed=3,S2,B,F4,L2,3,2,"H0,H4"
S=S2_A=B_F=F4_L=L2_seed=4,S2,B,F4,L2,4,2,"H0,H4"
S=S3_A=A_F=F0_L=L1_seed=1,S3,A,F0,L1,1,1,H0
S=S3_A=A_F=F0_L=L1_seed=2,S3,A,F0,L1,2,1,H0
S=S3_A=A_F=F0_L=L1_seed=3,S3,A,F0,L1,3,1,H0
S=S3_A=A_F=F0_L=L1_seed=4,S3,A,F0,L1,4,1,H0
S=S3_A=A_F=F0_L=L2_seed=1,S3,A,F0,L2,1,1,H0
S=S3_A=A_F=F0_L=L2_seed=2,S3,A,F0,L2,2,1,H0
S=S3_A=A_F=F0_L=L2_seed=3,S3,A,F0,L2,3,1,H0
S=S3_A=A_F=F0_L=L2_seed=4,S3,A,F0,L2,4,1,H0
S=S3_A=A_F=F1_L=L1_seed=1,S3,A,F1,L1,1,2,"H0,H1"
S=S3_A=A_F=F1_L=L1_seed=2,S3,A,F1,L1,2,2,"H0,H1"
S=S3_A=A_F=F1_L=L1_seed=3,S3,A,F1,L1,3,2,"H0,H1"
S=S3_A=A_F=F1_L=L1_seed=4,S3,A,F1,L1,4,2,"H0,H1"
S=S3_A=A_F=F1_L=L2_seed=1,S3,A,F1,L2,1,2,"H0,H1"
S=S3_A=A_F=F1_L=L2_seed=2,S3,A,F1,L2,2,2,"H0,H1"
S=S3_A=A_F=F1_L=L2_seed=3,S3,A,F1,L2,3,2,"H0,H1"
S=S3_A=A_F=F1_L=L2_seed=4,S3,A,F1,L2,4,2,"H0,H1"
S=S3_A=A_F=F2_L=L1_seed=1,S3,A,F2,L1,1,2,"H0,H2"
S=S3_A=A_F=F2_L=L1_seed=2,S3,A,F2,L1,2,2,"H0,H2"
S=S3_A=A_F=F2_L=L1_seed=3,S3,A,F2,L1,3,2,"H0,H2"
S=S3_A=A_F=F2_L=L1_seed=4,S3,A,F2,L1,4,2,"H0,H2"
S=S3_A=A_F=F2_L=L2_seed=1,S3,A,F2,L2,1,2,"H0,H2"
S=S3_A=A_F=F2_L=L2_seed=2,S3,A,F2,L2,2,2,"H0,H2"
S=S3_A=A_F=F2_L=L2_seed=3,S3,A,F2,L2,3,2,"H0,H2"
S=S3_A=A_F=F2_L=L2_seed=4,S3,A,F2,L2,4,2,"H0,H2"
S=S3_A=A_F=F3_L=L1_seed=1,S3,A,F3,L1,1,2,"H0,H3"
S=S3_A=A_F=F3_L=L1_seed=2,S3,A,F3,L1,2,2,"H0,H3"
S=S3_A=A_F=F3_L=L1_seed=3,S3,A,F3,L1,3,2,"H0,H3"
S=S3_A=A_F=F3_L=L1_seed=4,S3,A,F3,L1,4,2,"H0,H3"
S=S3_A=A_F=F3_L=L2_seed=1,S3,A,F3,L2,1,2,"H0,H3"
S=S3_A=A_F=F3_L=L2_seed=2,S3,A,F3,L2,2,2,"H0,H3"
S=S3_A=A_F=F3_L=L2_seed=3,S3,A,F3,L2,3,2,"H0,H3"
S=S3_A=A_F=F3_L=L2_seed=4,S3,A,F3,L2,4,2,"H0,H3"
S=S3_A=A_F=F4_L=L1_seed=1,S3,A,F4,L1,1,2,"H0,H4"
S=S3_A=A_F=F4_L=L1_seed=2,S3,A,F4,L1,2,2,"H0,H4"
S=S3_A=A_F=F4_L=L1_seed=3,S3,A,F4,L1,3,2,"H0,H4"
S=S3_A=A_F=F4_L=L1_seed=4,S3,A,F4,L1,4,2,"H0,H4"
S=S3_A=A_F=F4_L=L2_seed=1,S3,A,F4,L2,1,2,"H0,H4"
S=S3_A=A_F=F4_L=L2_seed=2,S3,A,F4,L2,2,2,"H0,H4"
S=S3_A=A_F=F4_L=L2_seed=3,S3,A,F4,L2,3,2,"H0,H4"
S=S3_A=A_F=F4_L=L2_seed=4,S3,A,F4,L2,4,2,"H0,H4"
S=S3_A=B_F=F0_L=L1_seed=1,S3,B,F0,L1,1,1,H0
S=S3_A=B_F=F0_L=L1_seed=2,S3,B,F0,L1,2,1,H0
S=S3_A=B_F=F0_L=L1_seed=3,S3,B,F0,L1,3,1,H0
S=S3_A=B_F=F0_L=L1_seed=4,S3,B,F0,L1,4,1,H0
S=S3_A=B_F=F0_L=L2_seed=1,S3,B,F0,L2,1,1,H0
S=S3_A=B_F=F0_L=L2_seed=2,S3,B,F0,L2,2,1,H0
S=S3_A=B_F=F0_L=L2_seed=3,S3,B,F0,L2,3,1,H0
S=S3_A=B_F=F0_L=L2_seed=4,S3,B,F0,L2,4,1,H0
S=S3_A=B_F=F1_L=L1_seed=1,S3,B,F1,L1,1,2,"H0,H1"
S=S3_A=B_F=F1_L=L1_seed=2,S3,B,F1,L1,2,2,"H0,H1"
S=S3_A=B_F=F1_L=L1_seed=3,S3,B,F1,L1,3,2,"H0,H1"
S=S3_A=B_F=F1_L=L1_seed=4,S3,B,F1,L1,4,2,"H0,H1"
S=S3_A=B_F=F1_L=L2_seed=1,S3,B,F1,L2,1,2,"H0,H1"
S=S3_A=B_F=F1_L=L2_seed=2,S3,B,F1,L2,2,2,"H0,H1"
S=S3_A=B_F=F1_L=L2_seed=3,S3,B,F1,L2,3,2,"H0,H1"
S=S3_A=B_F=F1_L=L2_seed=4,S3,B,F1,L2,4,2,"H0,H1"
S=S3_A=B_F=F2_L=L1_seed=1,S3,B,F2,L1,1,2,"H0,H2"
S=S3_A=B_F=F2_L=L1_seed=2,S3,B,F2,L1,2,2,"H0,H2"
S=S3_A=B_F=F2_L=L1_seed=3,S3,B,F2,L1,3,2,"H0,H2"
S=S3_A=B_F=F2_L=L1_seed=4,S3,B,F2,L1,4,2,"H0,H2"
S=S3_A=B_F=F2_L=L2_seed=1,S3,B,F2,L2,1,2,"H0,H2"
S=S3_A=B_F=F2_L=L2_seed=2,S3,B,F2,L2,2,2,"H0,H2"
S=S3_A=B_F=F2_L=L2_seed=3,S3,B,F2,L2,3,2,"H0,H2"
S=S3_A=B_F=F2_L=L2_seed=4,S3,B,F2,L2,4,2,"H0,H2"
S=S3_A=B_F=F3_L=L1_seed=1,S3,B,F3,L1,1,2,"H0,H3"
S=S3_A=B_F=F3_L=L1_seed=2,S3,B,F3,L1,2,2,"H0,H3"
S=S3_A=B_F=F3_L=L1_seed=3,S3,B,F3,L1,3,2,"H0,H3"
S=S3_A=B_F=F3_L=L1_seed=4,S3,B,F3,L1,4,2,"H0,H3"
S=S3_A=B_F=F3_L=L2_seed=1,S3,B,F3,L2,1,2,"H0,H3"
S=S3_A=B_F=F3_L=L2_seed=2,S3,B,F3,L2,2,2,"H0,H3"
